,label,original,simplified,split,BERTSimilarity,split BERTSimilarity,avg split BERTSimilarity,BLEU,split BLEU,avg split BLEU,ROUGE 1,split ROUGE 1,avg split ROUGE 1,ROUGE 2,split ROUGE 2,avg split ROUGE 2,ROUGE L,split ROUGE L,avg split ROUGE L,QuestEval,split QuestEval,avg split QuestEval
0,wiki-clock-en.txt,A clock or a timepiece is a device used to measure and indicate time.,A clock or a timepiece is a device used to measure and indicate time.,['A clock or a timepiece is a device used to measure and indicate time.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.8988190044959387,[0.8988190044959387],0.8988190044959387
1,wiki-clock-en.txt,"The clock is one of the oldest human inventions, meeting the need to measure intervals of time shorter than the natural units: the day, the lunar month, year and galactic year.",The clock is one of the oldest human inventions merging the need to measurement intervals of time shorter than the natural units the day the lunar month year and galactic year.,['The clock is one of the oldest human inventions merging the need to measurement intervals of time shorter than the natural units the day the lunar month year and galactic year.'],0.9662938117980957,[0.9662938117980957],0.9662938117980957,58.75519039806559,[58.75519039806559],58.75519039806559,0.8823529411764706,[0.8823529411764706],0.8823529411764706,0.8125,[0.8125],0.8125,0.8823529411764706,[0.8823529411764706],0.8823529411764706,0.5302925120506967,[0.5302925120506967],0.5302925120506967
2,wiki-clock-en.txt,Devices operating on several physical processes have been used over the millennia.,Devices operating on several physical processes have been used over the millennia.,['Devices operating on several physical processes have been used over the millennia.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.7768091609238317,[0.7768091609238317],0.7768091609238317
3,wiki-clock-en.txt,"Some predecessors to the modern clock may be considered as ""clocks"" that are based on movement in nature: A sundial shows the time by displaying the position of a shadow on a flat surface.",Some predecessors to the modern clock may be considered as clocks that are based on movement in nature A sundial shows the time by displaying the position of a shadow on a flat surface.,['Some predecessors to the modern clock may be considered as clocks that are based on movement in nature A sundial shows the time by displaying the position of a shadow on a flat surface.'],0.9850744605064392,[0.9850744605064392],0.9850744605064392,80.91759718619018,[80.91759718619018],80.91759718619018,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.5573683072019506,[0.5573683072019506],0.5573683072019506
4,wiki-clock-en.txt,"There is a range of duration timers, a well-known example being the hourglass.",There is a range of duration timers a well known example being the hourglass.,['There is a range of duration timers a well known example being the hourglass.'],0.9804757833480835,[0.9804757833480835],0.9804757833480835,66.06328636027618,[66.06328636027618],66.06328636027618,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.6390057330330212,[0.6390057330330212],0.6390057330330212
5,wiki-clock-en.txt,"Water clocks, along with the sundials, are possibly the oldest time-measuring instruments.",Water clocks along with the sundials are possibly the oldest time measurement instruments.,['Water clocks along with the sundials are possibly the oldest time measurement instruments.'],0.9851245284080505,[0.9851245284080505],0.9851245284080505,39.12950299584578,[39.12950299584578],39.12950299584578,0.875,[0.875],0.875,0.7142857142857143,[0.7142857142857143],0.7142857142857143,0.875,[0.875],0.875,0.7458330282458552,[0.7458330282458552],0.7458330282458552
6,wiki-clock-en.txt,"A major advance occurred with the invention of the verge escapement, which made possible the first mechanical clocks around 1300 in Europe, which kept time with oscillating timekeepers like balance wheels.",A major advance occurred with the invention of the verge escapement which made possible the first mechanical clocks around 1300 in Europe which kept time with hover timekeepers like balance wheels.,['A major advance occurred with the invention of the verge escapement which made possible the first mechanical clocks around 1300 in Europe which kept time with hover timekeepers like balance wheels.'],0.9865936636924744,[0.9865936636924744],0.9865936636924744,75.71389552562844,[75.71389552562844],75.71389552562844,0.9411764705882353,[0.9411764705882353],0.9411764705882353,0.875,[0.875],0.875,0.9411764705882353,[0.9411764705882353],0.9411764705882353,0.6303728282451629,[0.6303728282451629],0.6303728282451629
7,wiki-clock-en.txt,"Traditionally, in horology, the term clock was used for a striking clock, while a clock that did not strike the hours audibly was called a timepiece.",Traditionally in horology the term clock was used for a striking clock while a clock that did not strike the hours audibly was called a timepiece.,['Traditionally in horology the term clock was used for a striking clock while a clock that did not strike the hours audibly was called a timepiece.'],0.9908425807952881,[0.9908425807952881],0.9908425807952881,76.3551374369716,[76.3551374369716],76.3551374369716,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.7662543295710175,[0.7662543295710175],0.7662543295710175
8,wiki-clock-en.txt,This distinction is no longer made.,This distinction is no longer made.,['This distinction is no longer made.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.2953265309333801,[0.2953265309333801],0.2953265309333801
9,wiki-clock-en.txt,Watches and other timepieces that can be carried on one's person are usually not referred to as clocks.,Watches and other timepieces that can be post on one s person are usually not concern to as clocks.,['Watches and other timepieces that can be post on one s person are usually not concern to as clocks.'],0.9186369180679321,[0.9186369180679321],0.9186369180679321,54.817268386057926,[54.817268386057926],54.817268386057926,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.20000000000000004,[0.20000000000000004],0.20000000000000004,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.5793677597686097,[0.5793677597686097],0.5793677597686097
10,wiki-clock-en.txt,Spring-driven clocks appeared during the 15th century.,Spring driven clocks appeared during the 15th century.,['Spring driven clocks appeared during the 15th century.'],0.9915255308151245,[0.9915255308151245],0.9915255308151245,74.20884818558928,[74.20884818558928],74.20884818558928,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.8882977194256253,[0.8882977194256253],0.8882977194256253
11,wiki-clock-en.txt,"During the 15th and 16th centuries, clockmaking flourished.",During the 15th and 16th centuries clockmaking thrive.,['During the 15th and 16th centuries clockmaking thrive.'],0.9186597466468811,[0.9186597466468811],0.9186597466468811,55.55238068023578,[55.55238068023578],55.55238068023578,0.8000000000000002,[0.8000000000000002],0.8000000000000002,0.75,[0.75],0.75,0.8000000000000002,[0.8000000000000002],0.8000000000000002,0.9857309957345327,[0.9857309957345327],0.9857309957345327
12,wiki-clock-en.txt,The next development in accuracy occurred after 1656 with the invention of the pendulum clock by Christiaan Huygens.,The next development in accuracy occurred after 1656 with the invention of the pendulum clock by Christiaan Huygens.,['The next development in accuracy occurred after 1656 with the invention of the pendulum clock by Christiaan Huygens.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.7088025240671068,[0.7088025240671068],0.7088025240671068
13,wiki-clock-en.txt,A major stimulus to improving the accuracy and reliability of clocks was the importance of precise time-keeping for navigation.,A major stimulus to improving the accuracy and reliability of clocks was the importance of precise time keeping for navigation.,['A major stimulus to improving the accuracy and reliability of clocks was the importance of precise time keeping for navigation.'],0.9975963234901428,[0.9975963234901428],0.9975963234901428,81.60528832434373,[81.60528832434373],81.60528832434373,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.6045032064119975,[0.6045032064119975],0.6045032064119975
14,wiki-clock-en.txt,The mechanism of a timepiece with a series of gears driven by a spring or weights is referred to as clockwork; the term is used by extension for a similar mechanism not used in a timepiece.,The mechanism of a timepiece with a series of gears driven by a spring or weights is referred to as clockwork the term is used by extension for a similar mechanism not used in a timepiece.,['The mechanism of a timepiece with a series of gears driven by a spring or weights is referred to as clockwork the term is used by extension for a similar mechanism not used in a timepiece.'],0.9929404258728027,[0.9929404258728027],0.9929404258728027,92.9923845210929,[92.9923845210929],92.9923845210929,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.5616257875053972,[0.5616257875053972],0.5616257875053972
15,wiki-clock-en.txt,"The electric clock was patented in 1840, and electronic clocks were introduced in the 20th century, becoming widespread with the development of small battery-powered semiconductor devices.",The electric clock was patented in 1840 and electronic clocks were introduced in the 20th century suit widespread with the development of small battery powered semiconductor devices.,['The electric clock was patented in 1840 and electronic clocks were introduced in the 20th century suit widespread with the development of small battery powered semiconductor devices.'],0.9802070260047913,[0.9802070260047913],0.9802070260047913,67.16833901993986,[67.16833901993986],67.16833901993986,0.9696969696969697,[0.9696969696969697],0.9696969696969697,0.9032258064516129,[0.9032258064516129],0.9032258064516129,0.9696969696969697,[0.9696969696969697],0.9696969696969697,0.8291018597663395,[0.8291018597663395],0.8291018597663395
16,wiki-clock-en.txt,"The timekeeping element in every modern clock is a harmonic oscillator, a physical object (resonator) that vibrates or oscillates at a particular frequency.",The timekeeping element in every modern clock is a harmonic oscillator a physical object resonator that vibrates or vibrate at a particular frequency.,['The timekeeping element in every modern clock is a harmonic oscillator a physical object resonator that vibrates or vibrate at a particular frequency.'],0.9812117218971252,[0.9812117218971252],0.9812117218971252,60.90598953975522,[60.90598953975522],60.90598953975522,0.9166666666666666,[0.9166666666666666],0.9166666666666666,0.8181818181818182,[0.8181818181818182],0.8181818181818182,0.9166666666666666,[0.9166666666666666],0.9166666666666666,0.7176870643641009,[0.7176870643641009],0.7176870643641009
17,wiki-clock-en.txt,"This object can be a pendulum, a tuning fork, a quartz crystal, or the vibration of electrons in atoms as they emit microwaves.",This object can be a pendulum a tuning fork a quartz crystal or the vibration of electrons in atoms as they emit microwaves.,['This object can be a pendulum a tuning fork a quartz crystal or the vibration of electrons in atoms as they emit microwaves.'],0.9842978119850159,[0.9842978119850159],0.9842978119850159,68.39329477103357,[68.39329477103357],68.39329477103357,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.5153824146147128,[0.5153824146147128],0.5153824146147128
