,label,original,simplified,split,BERTSimilarity,split BERTSimilarity,avg split BERTSimilarity,BLEU,split BLEU,avg split BLEU,ROUGE 1,split ROUGE 1,avg split ROUGE 1,ROUGE 2,split ROUGE 2,avg split ROUGE 2,ROUGE L,split ROUGE L,avg split ROUGE L,QuestEval,split QuestEval,avg split QuestEval
0,wiki-clock-en.txt,A clock or a timepiece is a device used to measure and indicate time.,A clock or a timepiece is a device used to measure. Indicate time.,"['A clock or a timepiece is a device used to measure', 'Indicate time.']",0.9615084528923035,"[0.9780904054641724, 0.5497725605964661]",0.7639314830303192,74.87402156832427,"[70.1205513308646, 0.8839374326825923]",35.50224438177359,1.0,"[0.888888888888889, 0.33333333333333337]",0.6111111111111112,1.0,"[0.8571428571428571, 0]",0.42857142857142855,1.0,"[0.888888888888889, 0.33333333333333337]",0.6111111111111112,0.8469861954450607,"[0.775218675699499, 0.2358984798192978]",0.5055585777593984
1,wiki-clock-en.txt,"The clock is one of the oldest human inventions, meeting the need to measure intervals of time shorter than the natural units: the day, the lunar month, year and galactic year.",The clock meet the need to measure intervals of time shorter than the natural units. The clock is one of the oldest human inventions. Than the natural units is the day the lunar month year and galactic year.,"['The clock meet the need to measure intervals of time shorter than the natural units', 'The clock is one of the oldest human inventions', 'Than the natural units is the day the lunar month year and galactic year.']",0.9513401985168457,"[0.8877304792404175, 0.8247233033180237, 0.8355075716972351]",0.8493204514185587,58.45764101008403,"[32.15859729512526, 21.505750162756012, 17.278330851481755]",23.647559436454344,0.8648648648648648,"[0.56, 0.38095238095238093, 0.6399999999999999]",0.526984126984127,0.7999999999999999,"[0.43478260869565216, 0.3157894736842105, 0.6086956521739131]",0.4530892448512586,0.7027027027027027,"[0.56, 0.38095238095238093, 0.6399999999999999]",0.526984126984127,0.6202706904874907,"[0.5589303186295008, 0.7156949871116214, 0.2530055178536309]",0.5092102745315844
2,wiki-clock-en.txt,Devices operating on several physical processes have been used over the millennia.,Devices operating on several physical processes have been used over the millennia.,['Devices operating on several physical processes have been used over the millennia.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.7768091609238317,[0.7768091609238317],0.7768091609238317
3,wiki-clock-en.txt,"Some predecessors to the modern clock may be considered as ""clocks"" that are based on movement in nature: A sundial shows the time by displaying the position of a shadow on a flat surface.",Some predecessors to the modern clock may be considered as clocks that are based on movement in nature. A sundial shows the time. A sundial by display the position of a shadow on a flat surface display the position of a shadow on a flat surface.,"['Some predecessors to the modern clock may be considered as clocks that are based on movement in nature', 'A sundial shows the time', 'A sundial by display the position of a shadow on a flat surface display the position of a shadow on a flat surface.']",0.9636166095733643,"[0.923375129699707, 0.7519885301589966, 0.8704944849014282]",0.8486193815867106,53.35360341398249,"[38.422532264320395, 9.072069007511594, 26.2410286292374]",24.57854330035646,0.7894736842105263,"[0.6666666666666666, 0.3157894736842105, 0.3703703703703703]",0.4509421702404158,0.7222222222222222,"[0.6363636363636364, 0.23529411764705882, 0.24]",0.3705525846702317,0.7894736842105263,"[0.6666666666666666, 0.3157894736842105, 0.3703703703703703]",0.4509421702404158,0.6572999827287815,"[0.4695164528403263, 0.7185331483681997, 0.4872306165871797]",0.5584267392652352
4,wiki-clock-en.txt,"There is a range of duration timers, a well-known example being the hourglass.",Of duration timers is a well-known example. There is a range of duration timers being the hourglass.,"['Of duration timers is a well-known example', 'There is a range of duration timers being the hourglass.']",0.9085467457771301,"[0.8538432121276855, 0.8676819205284119]",0.8607625663280487,50.436778896757176,"[5.202556880807583, 57.02822264405544]",31.115389762431512,0.8,"[0.6666666666666666, 1.0]",0.8333333333333333,0.7499999999999999,"[0.5, 1.0]",0.75,0.8,"[0.6666666666666666, 1.0]",0.8333333333333333,0.6941584969560306,"[0.4559684793154398, 0.4702254061897596]",0.4630969427525997
5,wiki-clock-en.txt,"Water clocks, along with the sundials, are possibly the oldest time-measuring instruments.",Water clocks along with the sundials are possibly the oldest time-measuring instruments.,['Water clocks along with the sundials are possibly the oldest time-measuring instruments.'],0.9890140891075134,[0.9890140891075134],0.9890140891075134,61.04735835807847,[61.04735835807847],61.04735835807847,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.7912785324154706,[0.7912785324154706],0.7912785324154706
6,wiki-clock-en.txt,"A major advance occurred with the invention of the verge escapement, which made possible the first mechanical clocks around 1300 in Europe, which kept time with oscillating timekeepers like balance wheels.",The verge escapement made possible the first mechanical clocks around 1300 in Europe. A major advance occurred with the invention of the verge escapement. The verge escapement kept time with oscillated timekeepers like balance wheels.,"['The verge escapement made possible the first mechanical clocks around 1300 in Europe', 'A major advance occurred with the invention of the verge escapement', 'The verge escapement kept time with oscillated timekeepers like balance wheels.']",0.9739059805870056,"[0.920006513595581, 0.8617366552352905, 0.7927958369255066]",0.8581796685854594,61.73507142506286,"[27.875084077962544, 29.043915404545313, 14.976863598615857]",23.965287693707904,0.8421052631578947,"[0.6399999999999999, 0.5217391304347826, 0.5]",0.5539130434782608,0.7222222222222223,"[0.6086956521739131, 0.47619047619047616, 0.2727272727272727]",0.45253780036388735,0.6315789473684211,"[0.6399999999999999, 0.5217391304347826, 0.5]",0.5539130434782608,0.6715647889177006,"[0.6811056941747666, 0.4783084299829271, 0.4085732008020083]",0.5226624416532341
7,wiki-clock-en.txt,"Traditionally, in horology, the term clock was used for a striking clock, while a clock that did not strike the hours audibly was called a timepiece.",A clock that did not strike the hours audibly was called a timepiece. Traditionally in horology the term clock was used for a striking clock.,"['A clock that did not strike the hours audibly was called a timepiece', 'Traditionally in horology the term clock was used for a striking clock.']",0.984182596206665,"[0.8939196467399597, 0.9099286198616028]",0.9019241333007812,69.24328859069188,"[36.66011712333864, 29.40008093703827]",33.03009903018845,1.0,"[0.6666666666666666, 0.6666666666666666]",0.6666666666666666,0.9090909090909091,"[0.625, 0.625]",0.625,0.5,"[0.6666666666666666, 0.6666666666666666]",0.6666666666666666,0.6134116014948597,"[0.7522882521152496, 0.5321823789013755]",0.6422353155083126
8,wiki-clock-en.txt,This distinction is no longer made.,This distinction is no longer made.,['This distinction is no longer made.'],1.0,[1.0],1.0,100.00000000000004,[100.00000000000004],100.00000000000004,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.2953265309333801,[0.2953265309333801],0.2953265309333801
9,wiki-clock-en.txt,Watches and other timepieces that can be carried on one's person are usually not referred to as clocks.,Watches and other timepieces that can be carried on ones person are usually not referred to as clocks.,['Watches and other timepieces that can be carried on ones person are usually not referred to as clocks.'],0.9894433617591858,[0.9894433617591858],0.9894433617591858,84.92326635760686,[84.92326635760686],84.92326635760686,1.0,[1.0],1.0,1.0,[1.0],1.0,1.0,[1.0],1.0,0.6220524867375692,[0.6220524867375692],0.6220524867375692
